gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sde,sde,sde,sde,sde,sde,sde,snmesh,python,gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,gtclsh,sdevice,svisual,sdevice,svisual,sdevice,svisual,sdevice,svisual,sdevice,svisual,sdevice,svisual,sdevice,sdevice,svisual,
init,init,init,init,init,init,init,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sprocess,sde,sde,sde,sde,sde,sde,sde,snmesh,Meshcheck,DevParameter,DevParameter,DevParameter,DevParameter,DevParameter,DevParameter,DevParameter,Breakdown,BreakdownKL,Transfer,TransferKL,Gatecharge,GatechargeKL,Capacitance,CapacitanceKL,ParabelTCL,ParabelKL,DIBL,DIBLKL,Snapback,Snapback,SnapbackKL,
debug,paramdir,paramfile,SprocessRelease,VthClass,VoltageClass,UseVoltage,dsubs,dfs,drox,dfox,wspoly,wmesa,gridtype,fptrshape,depis,nepis,depim,nepim,OXprc,TRENCH,dfoxthgr,trdepth,trtaper,ROX,FOX,FPtype,spolyrec,GATE,gtrshape,wgtrench,facet,gtrdepth,gatehardmask,dgox,SACOX,dsacox,GOX,dgoxthgr,dgoxbot,CHANNEL,dstrox,gatemat,bodydose,body2dose,body2overlap,CONTACT,contgap,dcont,dzwox,EXTRACTS,MeshRelease,BOUNDARY,MinLSiFOX,FOXoffset,MinLSiGOX,GOXoffset,GOXaam,,,Threads,Solver,Area_mm2,Temp,PtDose,Simmode,SdeviceRelease,Imax,Ibvextr,VDS_V,Rsubs,QG_Cond,,,,stopcond,,I_DIBL,,SBsimmode,Iend,,Pi,OXalpha,NativeOxide,domain,ExtrVoltage,----Static-----,BVi,VFPmax,VGSTH,DIBL,RON10,RON7,RON45,Gm,VGSTHlow,VGSTHhigh,BVvfpmax,----FOM-----,FOMoss,FOMg,FOMgd,FOMsw,FOMrrnet,----Charges-----,Qoss,Eoss,Qgs,Qgd,Qsw,Qgtot,Qgd2Qth,QHoss,QossRatio,Qth,IDqg,VGSqgdqth,Vplateau,----ReverseRecovery-----,Qrr,Qdisp,Qhole,Qel,Qrrtot,Vrrm,Irrm,softF,trr,ta,tb,-----Mesh-----,nvert,deltavol,nondel,maxlevel,minedge,minvolume,minangle,maxconnect,-----Structure-----,pitch,ypitch,zpitch,wtrench,depi,wmesa_prc,segfac,trdepth_final,trenchbottomrounding,dfox_bot,dfox_side,gtrdepth_final,gatetrenchbottomrounding,dgox_bot,dgox_side,dgoxdepo,xsisur,dzwox_mesa,dzwox_gate,xsiox,xfp,overpolish,goverpolish,areafactor,-----Snapback-----,BVsnap,Ileakage,Isnap_1,FPtype,spolyrec,trtaper,hnormal,ddevice,nSub,epioff,nSource,dsource,xbdpk,dBK,pBK,ROX_EPA,FOX_EPA,FOXAN_EPA,SACOX_EPA,RTPhdp_EPA,GOX_EPA,RTPgox_EPA,GANNEAL_EPA,STROX_EPA,bodydrv_EPA,sourcedrv_EPA,BK_EPA,body,source,BKimp,dfoxdepo,tbr_etch,estroxgr,estfoxgr,Acell,Aoxgr,foxlist,goxlist,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,STD,1.25,1,diamond,0.26,0.2,0.86,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,STD,1.25,1,diamond,0.26,0.2,0.84,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,STD,1.25,1,diamond,0.26,0.2,0.88,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,LOCOS,1.25,1,diamond,0.26,0.2,0.86,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,LOCOS,1.25,1,diamond,0.26,0.2,0.84,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,LOCOS,1.25,1,diamond,0.26,0.2,0.88,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,BFP,1.25,1,diamond,0.26,0.2,0.86,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,110,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,BFP,1.25,1,diamond,0.26,0.2,0.84,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,100,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,0,1,1,BFP,1.25,1,diamond,0.26,0.2,0.88,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
1,/u/alpg/infineon/,threephase_bseg,S-2021.06-L1,NL,100,default,10,1e14,0.15,0.39,0.45,0.86,regular,square,4.5,2.2e16,3.5,1.0e16,depo,1,0.21,5.05,-1,1,1,STD,1.25,1,diamond,0.26,0.2,0.86,yes,0.08,1,0.01,1,0.0,0.25,1,0.019,metal,1.9e12,0,0.1,1,0.12,0.34,1.0,1,S-2021.06-L1,keep,0.006,1.6,0.001,2.0,1.2,,,8,Pardiso,1,300,0,Transient,R-2020.09-SP1,1.1e-4,1e-4,0.3,1,BE,,,,maximum,,1e-3,,V2C,10000,,3.1415926,0.44,3.0,NaN,50,-----Static-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----FOM-----,NaN,NaN,NaN,NaN,NaN,-----Charges-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----ReverseRecovery-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Mesh-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Structure-----,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-----Snapback-----,NaN,NaN,NaN,STD,0.0,0.0,0.020,18.0,2e19,0.15,5e20,0.07,0.28,0.035,5e19,VFH10121,VFH10539,VFH10048,VFH20004,VFH10104,VFH10242,VFH10104,VFH10165,VFH10700,VFH20106,VFH20106,VFH20147,triple,sfet5,sfet8,0.18,0.279312727273,0.06165,0.08631,2.8552,0.6403945536,null,null,
