sprocess,sprocess,sprocess,sprocess,sdevice,svisual,
sprocess,sprocess,sprocess,sprocess,sdevice,IdVg,
Lg,NWell,GOxTime,LDD_Dose,Vd,,tox,Vtgm,Id,SS,gm,
0.25,1e+17,10,1e+14,0.05,,,,,,,
0.25,1e+17,10,1e+14,1.0,,,,,,,
0.25,1e+17,10,2e+14,0.05,,,,,,,
0.25,1e+17,10,2e+14,1.0,,,,,,,
0.25,1e+17,15,1e+14,0.05,,,,,,,
0.25,1e+17,15,1e+14,1.0,,,,,,,
0.25,1e+17,15,2e+14,0.05,,,,,,,
0.25,1e+17,15,2e+14,1.0,,,,,,,
0.25,2e+17,10,1e+14,0.05,,,,,,,
0.25,2e+17,10,1e+14,1.0,,,,,,,
0.25,2e+17,10,2e+14,0.05,,,,,,,
0.25,2e+17,10,2e+14,1.0,,,,,,,
0.25,2e+17,15,1e+14,0.05,,,,,,,
0.25,2e+17,15,1e+14,1.0,,,,,,,
0.25,2e+17,15,2e+14,0.05,,,,,,,
0.25,2e+17,15,2e+14,1.0,,,,,,,
